UID;Link;Updated At;Space - Time;Image;Thumbnail URL;Share URL;Language;Title;Description;Details;Tags;Geo Coordinates;Place Name;Address;Department;Region;City;Start Date;End Date;Timetable;Pricing Info;Program UID
27718463;http://openagenda.com/event/shook-shook_333;2016-10-17T12:46:17+02:00;LIVE BAR, le samedi 26 novembre à 21:00;http://cibul.s3.amazonaws.com/event_shook-shook_333_774517.jpg;http://cibul.s3.amazonaws.com/evtbevent_shook-shook_333_774517.jpg;;fr;Shook Shook;dans le cadre du festival Bar-Bars;"Entre reprises et compositions bien enlevées, une grosse énergie et une belle générosité, les 6 musiciens de Shook Shook sauront vous donner envie de bouger les jambes avec leur musique gorgée de soleil !

[https://www.facebook.com/shookshookband/videos/738190492977966/](https://www.facebook.com/shookshookband/videos/738190492977966/)";shake & shook !;47.216198, -1.551293;LIVE BAR;6 rue de Strasbourg, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T21:00:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 55712967 31778250 30291675 7454155 16338151 63658282 39331700
4302735;http://openagenda.com/event/na-beira-do-bar;2016-10-17T12:46:22+02:00;MOJO, le samedi 26 novembre à 21:30;http://cibul.s3.amazonaws.com/event_na-beira-do-bar_747529.jpg;http://cibul.s3.amazonaws.com/evtbevent_na-beira-do-bar_747529.jpg;;fr;Na Beira Do Bar;dans le cadre du festival Bar-Bars;"Na Beira Do Bar vous transporte à Rio de Janeiro pour une roda de samba qui fait monter la chaleur ! Musique populaire brésilienne et succès du carnaval carioca au programme, vamos là ! ""

[https://www.facebook.com/NaBeiraDoBar/](https://www.facebook.com/NaBeiraDoBar/)";musique populaire brésilienne,pagode;47.220338, -1.548693;MOJO;79 rue Maréchal Joffre, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T21:30:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
71687619;http://openagenda.com/event/el-royce_965;2016-10-17T12:46:34+02:00;ROAD HOUSE, le samedi 26 novembre à 22:30;http://cibul.s3.amazonaws.com/event_el-royce_965_212638.jpg;http://cibul.s3.amazonaws.com/evtbevent_el-royce_965_212638.jpg;;fr;El Royce;dans le cadre du festival Bar-Bars;"Depuis 2002, EL ROYCE enchaîne les kilomètres et les disques (deux démos, deux EP, deux albums). En 2016, avec “Black Saints Of Bourbon Street” (Black Desert Record) les nantais livrent leur troisième album : une collection d’histoires autour de la Louisiane et la Nouvelle-Orléans. Cette année, EL ROYCE sera sur les routes, prêchant le culte des guitares lourdes et puissantes. Une invitation au sabbat où les forces vives se déchaînent. In Loud We Trust.

[https://elroyce.bandcamp.com/](https://elroyce.bandcamp.com/)";metal;47.213108, -1.553823;ROAD HOUSE;3, Quai Turenne 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T22:30:00 2016-11-26T01:30:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
84046014;http://openagenda.com/event/trotski-nautique;2016-10-17T12:46:07+02:00;CAFE DU CINEMA, le samedi 26 novembre à 20:30;http://cibul.s3.amazonaws.com/event_trotski-nautique_191603.jpg;http://cibul.s3.amazonaws.com/evtbevent_trotski-nautique_191603.jpg;;fr;TROTSKI NAUTIQUE;dans le cadre du festival Bar-Bars;"Duo de deux personnes constitué de Aude et Guillaume, Trotski Nautique respecte la parité. Comme on est dans le futur des années 2000 depuis un moment, Trotski Nautique ne voit pas l’intérêt de jouer avec une batterie qui prend toute la place dans le camion, ce qui est bien pratique parce que Trotski Nautique n’a pas de camion et préfère le train. Alors Trotski Nautique joue de la boîte à rythme, il suffit d’appuyer sur un bouton et ça envoie le bois comme disent les jeunes. L’avantage de la boîte à rythme c’est que Trotski Nautique peut jouer n’importe où, aussi bien au stade de France que dans ta salle de bain. Bob Dylan aussi il peut aussi bien jouer au stade de France que dans ta salle de bain me direz-vous et bien Trotski Nautique est d’accord mais Trotski Nautique aime bien quand ça fait Poum Tchack avec de la caisse claire qui claque. Trotski Nautique joue généralement des chansons de 1 minute 30 voire 2 minutes parce que plus c’est court et moins c’est long. Des paroles à l'image des BD de David Snug, membre du groupe, et une bonne ambiance assurée.

[https://www.facebook.com/163125920375633/videos/1069615749726641/](https://www.facebook.com/163125920375633/videos/1069615749726641/)

[https://trotskinautique.wordpress.com/](https://trotskinautique.wordpress.com/)";Low-Fi variet communiste;47.216658, -1.551225;CAFE DU CINEMA;8 rue des Carmélites, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:30:00 2016-11-26T21:30:00;;32214778 22126321 74583765 64984403 31778250 55712967 30291675 7454155 16338151 63658282 39331700
53089746;http://openagenda.com/event/alex-de-vree-et-erwan-le-fichant;2016-10-17T12:46:04+02:00;GRASLIN DE FOLIE, le samedi 26 novembre à 20:30;http://cibul.s3.amazonaws.com/event_alex-de-vree-et-erwan-le-fichant_697001.jpg;http://cibul.s3.amazonaws.com/evtbevent_alex-de-vree-et-erwan-le-fichant_697001.jpg;;fr;ALEX DE VREE ET ERWAN LE FICHANT;dans le cadre du festival Bar-Bars;"Alliant blues et folk avec des accents de country, Alex de Vree et Erwan Le Fichant vous feront voyager dans des textes empruntés aux plus talentueux bluesmen et songwriters des années 20 à nos jours.

[https://www.facebook.com/AlexdeVreeErwanLeFichant/videos/1641936149429488/](https://www.facebook.com/AlexdeVreeErwanLeFichant/videos/1641936149429488/)";Duo blues'n'folk;47.213268, -1.562563;GRASLIN DE FOLIE;1 rue Racine, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:30:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
55209328;http://openagenda.com/event/toto-experience-band;2016-10-17T12:46:03+02:00;ANNEXE CAFE, le samedi 26 novembre à 20:30;http://cibul.s3.amazonaws.com/event_toto-experience-band_999688.jpg;http://cibul.s3.amazonaws.com/evtbevent_toto-experience-band_999688.jpg;;fr;Toto Experience Band;dans le cadre du festival Bar-Bars;"Jeune groupe pop/rock nantais, composé de 3 personnalités bien distinctes où chacun apporte son univers musical avec un point commun : l'Habemus Papam de l'Annexe Café.

[https://www.facebook.com/Toto-Experience-Band-905214656158089/](https://www.facebook.com/Toto-Experience-Band-905214656158089/)";rock nantais;47.219638, -1.558963;ANNEXE CAFE;36 rue Léon Jamin, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:30:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
66698616;http://openagenda.com/event/ricardo-venezuela-mc-booka-france;2016-10-17T12:46:05+02:00;BODEGA, le samedi 26 novembre à 20:30;http://cibul.s3.amazonaws.com/event_ricardo-venezuela-mc-booka-france_68266.jpg;http://cibul.s3.amazonaws.com/evtbevent_ricardo-venezuela-mc-booka-france_68266.jpg;;fr;Ricardo (Vénézuela) Mc Booka (France);dans le cadre du festival Bar-Bars;Tout est dit ! Ricardo, déjà présent le vendredi, revient le samedi avec Mc Booka.;musica latina y percusión y mas;47.215008, -1.555163;BODEGA;8 rue Beauregard, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:30:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
27229739;http://openagenda.com/event/loopsinacoustik_510;2016-10-17T12:46:08+02:00;BIG BEN, le samedi 26 novembre à 20:30;http://cibul.s3.amazonaws.com/event_loopsinacoustik_510_135071.jpg;http://cibul.s3.amazonaws.com/evtbevent_loopsinacoustik_510_135071.jpg;;fr;Loopsinacoustik;dans le cadre du festival Bar-Bars;"Loopsinacoustik suit les pas de « Satta Massagana », chanson née dans la rue, des Abyssinians, et reluque du côté d'un reggae épuré, seul à la guitare. L'instrument est exploité comme rarement, tant pour des ""skunks"" francs et énergiques que pour des percussions groove.""

[https://soundcloud.com/loopsinacoustik](https://soundcloud.com/loopsinacoustik)

[https://www.youtube.com/channel/UC2yLVIKle8VAX1kB9C3U7PQ](https://www.youtube.com/channel/UC2yLVIKle8VAX1kB9C3U7PQ)";one man reggae band;47.213488, -1.553963;BIG BEN;1 rue Kervégan, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:30:00 2016-11-26T23:30:00;;32214778 74583765 22126321 64984403 55712967 31778250 30291675 16338151 63658282 7454155 39331700
49849611;http://openagenda.com/event/lagedo-do-samba;2016-10-17T12:46:14+02:00;MB CAFE, le samedi 26 novembre à 21:00;http://cibul.s3.amazonaws.com/event_lagedo-do-samba_962163.jpg;http://cibul.s3.amazonaws.com/evtbevent_lagedo-do-samba_962163.jpg;;fr;Lagedo do Samba;dans le cadre du festival Bar-Bars;"Lagedo do Samba a été créé au début des années 2000 au Brésil. Le groupe mélange la samba-reggae, le pagode, le forro, l'axé, l'arrocha. Tous les musiciens sont originaires de Salvador de Bahia et évoluent dans la région nantaise depuis 10 ans.

[https://www.facebook.com/lagedo.dosamba](https://www.facebook.com/lagedo.dosamba)";samba;47.210568, -1.570933;MB CAFE;5 rue Lamoricière, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T21:00:00 2016-11-26T00:00:00;;32214778 74583765 22126321 31778250 64984403 55712967 30291675 63658282 16338151 7454155 39331700
82169240;http://openagenda.com/event/les-soubas-resille_346;2016-10-17T12:46:11+02:00;BAROUDEUR, le samedi 26 novembre à 21:00;http://cibul.s3.amazonaws.com/event_les-soubas-resille_346_664781.jpg;http://cibul.s3.amazonaws.com/evtbevent_les-soubas-resille_346_664781.jpg;;fr;Les Soubas Résille;dans le cadre du festival Bar-Bars;"Fanfare sans filet qui fait pas dans la dentelle.

[http://myspace.com/soubas-resille](http://myspace.com/soubas-resille)";fanfare;47.221348, -1.547625;BAROUDEUR;43 rue du Maréchal Joffre, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T21:00:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
2970845;http://openagenda.com/event/westcostars_604;2016-10-17T12:46:02+02:00;CASCABEL, le samedi 26 novembre à 20:00;http://cibul.s3.amazonaws.com/event_westcostars_604_433569.jpg;http://cibul.s3.amazonaws.com/evtbevent_westcostars_604_433569.jpg;;fr;Westcostars;dans le cadre du festival Bar-Bars;"Tout droit sortis de la WestCoast Atlantique, ces musiciens « Bling-Bling » aux allures de Bad Boys vous invitent à rejoindre l'univers festif et cuivre des Brass Band. Puissante et énergique, la musique qu'ils distillent sonne « ricain » : du gros son, de la sueur, mais aussi de l'humour...

[https://www.facebook.com/WestCostars/videos/10153122463697843/](https://www.facebook.com/WestCostars/videos/10153122463697843/)

[http://westcostars.wix.com/westcostars](http://westcostars.wix.com/westcostars)";fanfare bambam,groovy funky juicy;47.213488, -1.553963;CASCABEL;1, rue Kervégan 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:00:00 2016-11-26T21:45:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
76957384;http://openagenda.com/event/the-magnetix;2016-10-17T12:46:02+02:00;MADAME REVE, le samedi 26 novembre à 20:00;http://cibul.s3.amazonaws.com/event_the-magnetix_936021.jpg;http://cibul.s3.amazonaws.com/evtbevent_the-magnetix_936021.jpg;;fr;MAGNETIX;dans le cadre du festival Bar-Bars;"Le fameux duo bordelais sait tout faire : du Cramps, du yéyé, du stoner, du rock'n'roll, du djembé... euh, non, pas du djembé.

[https://www.youtube.com/watch?v=s6YoU-cljxo](https://www.youtube.com/watch?v=s6YoU-cljxo)";Rock'n'roll;47.214418, -1.555273;MADAME REVE;2 allée Jean Bart, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:00:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 30291675 55712967 16338151 63658282 7454155 39331700
57128977;http://openagenda.com/event/map_714;2016-10-17T12:46:02+02:00;PERROK', le samedi 26 novembre à 20:00;http://cibul.s3.amazonaws.com/event_map_714_896293.jpg;http://cibul.s3.amazonaws.com/evtbevent_map_714_896293.jpg;;fr;Map;dans le cadre du festival Bar-Bars;MAP un duo guitare voix cover pop folk !!!;pop,folk;47.215008, -1.552983;PERROK';2, rue de la Bâclerie 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:00:00 2016-11-26T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
38017043;http://openagenda.com/event/dj-syviano;2016-10-17T12:46:02+02:00;PICKWICK'S, le samedi 26 novembre à 20:00;http://cibul.s3.amazonaws.com/event_dj-syviano_341798.jpg;http://cibul.s3.amazonaws.com/evtbevent_dj-syviano_341798.jpg;;fr;Dj Sylvano;dans le cadre du festival Bar-Bars;;mix électro;47.213048, -1.560793;PICKWICK'S;3, rue Rameau 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-26;2016-11-26;2016-11-26T20:00:00 2016-11-26T04:00:00;;32214778 74583765 64984403 22126321 31778250 55712967 30291675 63658282 16338151 7454155 39331700
61528065;http://openagenda.com/event/the-lunatics;2016-10-17T12:45:29+02:00;MB CAFE, le vendredi 25 novembre à 21:00;http://cibul.s3.amazonaws.com/event_the-lunatics_127697.jpg;http://cibul.s3.amazonaws.com/evtbevent_the-lunatics_127697.jpg;;fr;The Lunatics;dans le cadre du festival Bar-Bars;The Lunatics a été créé en 2013 par 4 musiciens issus de différentes cultures musicales, batterie-fanfare, variété, jazz, blues. Tous passionnés de rock anglais, nous nous sommes réunis dans le but de reprendre les grands standards des groupes comme U2, Police, Dire Straits, Coldplay.;reprises rock;47.210568, -1.570933;MB CAFE;5 rue Lamoricière, 44000 Nantes;Loire-Atlantique;Pays de la Loire;Nantes;2016-11-25;2016-11-25;2016-11-25T21:00:00 2016-11-25T00:00:00;;32214778 74583765 22126321 64984403 31778250 55712967 30291675 16338151 63658282 7454155 39331700
